Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
351,5,5.000,58428,72392,170102,131191,176490,178543,178543,178543,178543
352,3,3.000,182575,182575,183847,342467,660981,660981,660981,660981,660981
353,2,2.000,697906,697906,754367,726136,754367,754367,754367,754367,754367
354,4,4.000,56398,167702,180422,148209,188315,188315,188315,188315,188315
355,2,2.000,597391,597391,926232,761811,926232,926232,926232,926232,926232
356,2,2.000,69293,69293,766091,417692,766091,766091,766091,766091,766091
357,1,1.000,978036,978036,978036,978036,978036,978036,978036,978036,978036
358,2,2.000,207328,207328,439978,323653,439978,439978,439978,439978,439978
359,2,2.000,451649,451649,652983,552316,652983,652983,652983,652983,652983
360,3,3.000,57452,57452,493808,470582,860487,860487,860487,860487,860487
361,1,1.000,544194,544194,544194,544194,544194,544194,544194,544194,544194
362,1,1.000,904270,904270,904270,904270,904270,904270,904270,904270,904270
363,3,3.000,169551,169551,493817,392335,513638,513638,513638,513638,513638
